fips,geo_name,state_abb,type,population_2020,n,lng,lat
2701900,apple valley,MN,City,56374,22,-93.20061058,44.74564021
2718116,eden prairie,MN,City,64198,22,-93.45951283,44.84876533
3432250,hoboken,NJ,City,60419,22,-74.03191747,40.74546626
3676540,utica,NY,City,65283,22,-75.22610898,43.09608147
0877290,thornton,CO,City,141867,21,-104.9844226,39.86969849
0946450,meriden,CT,City,60850,21,-72.7943441,41.53673234
1719642,des plaines,IL,City,60675,21,-87.90082446,42.0343349
3456550,passaic,NJ,City,70537,21,-74.12815245,40.85759783
3725580,gastonia,NC,City,80411,21,-81.2021375,35.26672865
0412000,chandler,AZ,City,275987,20,-111.863762,33.29481186
0908420,bristol,CT,City,60833,20,-72.94069633,41.6811556
1705573,berwyn,IL,City,57250,20,-87.7909345,41.84333414
2555745,quincy,MA,City,101636,20,-71.02110986,42.24948805
2562535,somerville,MA,City,81045,20,-71.103621,42.38598442
3944856,lorain,OH,City,65211,20,-82.17945132,41.46574319
4853388,odessa,TX,City,114428,20,-102.3665494,31.84556739
1706613,bloomington,IL,City,78680,19,-88.99704911,40.48566868
2241155,lake charles,LA,City,84872,19,-93.21276679,30.20252388
3675484,troy,NY,City,51401,19,-73.67513103,42.73546382
0427820,glendale,AZ,City,248325,18,-112.1901463,33.53341923
1871000,south bend,IN,City,103453,18,-86.26903703,41.6771051
2108902,bowling green,KY,City,72294,18,-86.43861283,36.97158068
2208920,bossier city,LA,City,62701,18,-93.73092272,32.52069193
2613110,canton,MI,City,NA,18,-83.48211599999999,42.3086444
2924778,florissant,MO,City,52533,18,-90.32688416,38.79958052
3209700,carson,NV,City,58639,18,-119.7625254,39.16270392
5176432,suffolk,VA,City,94324,18,-76.58757059,36.73145574
5351300,olympia,WA,City,55605,18,-122.8976029,47.03631255
1759000,peoria,IL,City,113150,17,-89.59006096,40.69150012
2674900,southfield,MI,City,76618,17,-83.25873965,42.47734498
3403580,bayonne,NJ,City,71686,17,-74.10632262,40.65994454
0550450,north little rock,AR,City,64591,16,-92.26791336,34.75826645
1805860,bloomington,IN,City,79168,16,-86.52669287,39.16353021
3665508,schenectady,NY,City,67047,16,-73.92755908,42.80251944
3728080,greenville,NC,City,87521,16,-77.37761675,35.59555801
4841980,league city,TX,City,114392,16,-95.09323099,29.50152438
0485540,yuma,AZ,City,95548,15,-114.6205095,32.69028898
0803455,arvada,CO,City,124402,15,-105.1088742,39.82313242
1756640,orland park,IL,City,58703,15,-87.85068261,41.61253346
1849932,mishawaka,IN,City,51063,15,-86.16644795,41.67344203
2569170,taunton,MA,City,59408,15,-71.09429755,41.90358139
4826232,flower mound,TX,City,75956,15,-97.07931725,33.03018518
1270675,tamarac,FL,City,71897,14,-80.264451,26.21173117
1349756,marietta,GA,City,60972,14,-84.53731045,33.95271772
1775484,tinley park,IL,City,55971,14,-87.78524992,41.59694056
2430325,frederick,MD,City,78171,14,-77.4186725,39.4262959
2665440,pontiac,MI,City,61606,14,-83.28780088,42.64931465
2670040,royal oak,MI,City,58211,14,-83.15386756,42.50839197
3563460,rio rancho,NM,City,104046,14,-106.6575667,35.24393161
3925256,elyria,OH,City,52656,14,-82.10685138,41.37605204
4806128,baytown,TX,City,83701,14,-95.00001243,29.72743674
4843888,longview,TX,City,81638,14,-94.76219922,32.51937082
4856348,pearland,TX,City,125828,14,-95.25543305,29.54991689
1301696,alpharetta,GA,City,65818,13,-84.2737275,34.06993087
1652120,meridian,ID,City,117635,13,-116.3968518,43.61767013
1779293,waukegan,IL,City,89321,13,-87.8442405,42.3725507
2064500,shawnee,KS,City,67311,13,-94.71645729,39.02323176
2539835,medford,MA,City,59659,13,-71.10913275,42.42382606
2688940,wyoming,MI,City,76501,13,-85.70670078,42.89099496
